Date,PM25,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,ChangeStrategyOrNot,CityIndex
2020-03-12T00:00:00.000Z,31.21,7.2,1.27,10.65,25.63,0.56,4.22,2.81,0.01,0.08,52,2,0,15
2020-03-13T00:00:00.000Z,38.39,7.19,0.91,10.37,29.16,0.57,4.46,0.18,0,0,60,2,0,15
2020-03-14T00:00:00.000Z,43.23,7.14,1.07,10.48,28.95,0.57,4.53,0.41,0,0,62,2,0,15
2020-03-15T00:00:00.000Z,33.82,7.09,0.36,9.73,28.41,0.48,4.63,0.3,0,0,70,2,0,15
2020-03-16T00:00:00.000Z,27.14,5.63,2.32,8.09,23.98,0.5,4.71,13.02,0.13,0.68,54,2,0,15
2020-03-17T00:00:00.000Z,27.32,3.07,2.14,3.41,24.57,0.48,4.84,6.03,0.25,1.34,40,1,0,15
2020-03-18T00:00:00.000Z,31.76,3,1.48,5.24,23.42,0.47,5.04,8.76,0.24,1.19,51,2,0,15
2020-03-19T00:00:00.000Z,43.8,2.97,1.31,4.97,23.41,0.48,5.3,9.96,0.26,1.11,63,2,0,15
2020-03-20T00:00:00.000Z,35.48,3.01,0.83,4.64,24.85,0.49,5.32,6.43,0.27,1.15,69,2,0,15
2020-03-21T00:00:00.000Z,51.27,3.01,0.88,4.62,24.44,0.49,5.63,8.62,49.66,50.11,70,2,0,15
2020-03-22T00:00:00.000Z,33.24,2.93,0.13,3.65,18.55,0.37,5.41,5.64,13.07,13.69,71,2,0,15
2020-03-23T00:00:00.000Z,35.34,2.98,0.16,3.71,20.24,0.32,5.63,5.73,62.93,62.45,53,2,0,15
2020-03-24T00:00:00.000Z,47.34,2.96,0.14,3.66,20.21,0.37,6.17,5.59,0.33,0.33,66,2,0,15
2020-03-25T00:00:00.000Z,53.64,2.96,0.17,3.77,25.43,0.44,6.75,6.44,0.23,0.84,92,2,0,15
2020-03-26T00:00:00.000Z,54.9,2.96,0.13,3.69,25.48,0.42,6.8,5.87,0.25,0.92,89,2,0,15
2020-03-27T00:00:00.000Z,44.64,2.94,0.11,3.59,28.26,0.4,7.34,6.42,0.22,0.82,82,2,0,15
2020-03-28T00:00:00.000Z,51.33,2.92,0.35,3.89,29.89,0.44,7.69,8.76,0.23,0.66,71,2,0,15
2020-03-29T00:00:00.000Z,34.54,2.93,0.13,3.64,28.47,0.36,7.8,7.99,0.19,0.6,81,2,0,15
2020-03-30T00:00:00.000Z,39.47,2.93,0.24,3.79,29.05,0.42,7.67,7.4,0.19,0.73,60,2,0,15
2020-03-31T00:00:00.000Z,27.27,2.95,0.25,3.8,30.99,0.4,7.9,6.74,0.18,0.8,51,2,0,15
2020-04-01T00:00:00.000Z,38.6,2.98,0.26,3.94,32.95,0.45,8.11,6.12,36.6,37.17,62,2,0,15
2020-04-02T00:00:00.000Z,36.22,2.93,0.25,3.86,32.94,0.4,8.36,9.24,0.15,0.55,64,2,0,15
2020-04-03T00:00:00.000Z,30.35,2.9,0.21,3.75,23.37,0.29,8.25,10.87,0.08,0.47,54,2,0,15
2020-04-04T00:00:00.000Z,24.05,2.97,0.25,3.79,21.6,0.26,8.16,11.09,0.08,0.42,43,1,0,15
2020-04-05T00:00:00.000Z,26.47,2.96,0.08,3.5,26,0.31,8.79,5.76,10.03,10.52,44,1,0,15
2020-04-06T00:00:00.000Z,35.13,2.96,0.15,3.69,25.1,0.31,8.49,7.94,0.12,0.52,48,1,0,15
2020-04-07T00:00:00.000Z,33.19,2.92,0.3,3.85,22.71,0.3,8.78,13.38,0.12,0.38,61,2,0,15
2020-04-08T00:00:00.000Z,24.92,2.97,0.18,3.74,23.73,0.27,8.69,9.67,0.08,0.41,45,1,0,15
2020-04-09T00:00:00.000Z,39.15,3.32,0.31,4.47,22.95,0.39,7.81,7.66,6.27,6.66,59,2,0,15
2020-04-10T00:00:00.000Z,38.01,4.41,0.13,5.7,27.97,0.41,4.52,5.62,0.16,0.7,64,2,0,15
2020-04-11T00:00:00.000Z,30.06,4.37,0.17,5.74,30,0.37,4.77,6.71,0.15,0.71,55,2,0,15
2020-04-12T00:00:00.000Z,21.7,4.33,0.12,5.6,26.24,0.27,4.54,8.47,8.27,8.6,41,1,0,15
2020-04-13T00:00:00.000Z,28.33,6.24,0.39,8.44,28.53,0.36,5.3,10.16,0.12,0.57,42,1,0,15
2020-04-14T00:00:00.000Z,46.26,10.26,0.45,14.04,31.28,0.47,5.66,2.97,29.29,29.74,64,2,0,15
